subject	word	time	count
Bernie Sanders	ass	2015-10-13T20:45-0400	1
Bernie Sanders	bitch	2015-10-13T20:45-0400	0
Bernie Sanders	damn	2015-10-13T20:45-0400	2
Bernie Sanders	dick	2015-10-13T20:45-0400	1
Bernie Sanders	douche	2015-10-13T20:45-0400	0
Bernie Sanders	fuck	2015-10-13T20:45-0400	2
Bernie Sanders	shit	2015-10-13T20:45-0400	2
Donald Trump	ass	2015-10-13T20:45-0400	1
Donald Trump	bitch	2015-10-13T20:45-0400	1
Donald Trump	damn	2015-10-13T20:45-0400	4
Donald Trump	dick	2015-10-13T20:45-0400	1
Donald Trump	douche	2015-10-13T20:45-0400	0
Donald Trump	fuck	2015-10-13T20:45-0400	6
Donald Trump	shit	2015-10-13T20:45-0400	5
Hillary Clinton	ass	2015-10-13T20:45-0400	1
Hillary Clinton	bitch	2015-10-13T20:45-0400	1
Hillary Clinton	damn	2015-10-13T20:45-0400	0
Hillary Clinton	dick	2015-10-13T20:45-0400	0
Hillary Clinton	douche	2015-10-13T20:45-0400	0
Hillary Clinton	fuck	2015-10-13T20:45-0400	1
Hillary Clinton	shit	2015-10-13T20:45-0400	3
Jim Webb	ass	2015-10-13T20:45-0400	0
Jim Webb	bitch	2015-10-13T20:45-0400	0
Jim Webb	damn	2015-10-13T20:45-0400	1
Jim Webb	dick	2015-10-13T20:45-0400	0
Jim Webb	douche	2015-10-13T20:45-0400	0
Jim Webb	fuck	2015-10-13T20:45-0400	1
Jim Webb	shit	2015-10-13T20:45-0400	0
Lincoln Chafee	ass	2015-10-13T20:45-0400	0
Lincoln Chafee	bitch	2015-10-13T20:45-0400	0
Lincoln Chafee	damn	2015-10-13T20:45-0400	4
Lincoln Chafee	dick	2015-10-13T20:45-0400	0
Lincoln Chafee	douche	2015-10-13T20:45-0400	0
Lincoln Chafee	fuck	2015-10-13T20:45-0400	0
Lincoln Chafee	shit	2015-10-13T20:45-0400	2
Martin O'Malley	ass	2015-10-13T20:45-0400	0
Martin O'Malley	bitch	2015-10-13T20:45-0400	0
Martin O'Malley	damn	2015-10-13T20:45-0400	0
Martin O'Malley	dick	2015-10-13T20:45-0400	0
Martin O'Malley	douche	2015-10-13T20:45-0400	0
Martin O'Malley	fuck	2015-10-13T20:45-0400	0
Martin O'Malley	shit	2015-10-13T20:45-0400	0
Bernie Sanders	ass	2015-10-13T20:46-0400	3
Bernie Sanders	bitch	2015-10-13T20:46-0400	0
Bernie Sanders	damn	2015-10-13T20:46-0400	3
Bernie Sanders	dick	2015-10-13T20:46-0400	1
Bernie Sanders	douche	2015-10-13T20:46-0400	0
Bernie Sanders	fuck	2015-10-13T20:46-0400	8
Bernie Sanders	shit	2015-10-13T20:46-0400	2
Donald Trump	ass	2015-10-13T20:46-0400	4
Donald Trump	bitch	2015-10-13T20:46-0400	0
Donald Trump	damn	2015-10-13T20:46-0400	5
Donald Trump	dick	2015-10-13T20:46-0400	0
Donald Trump	douche	2015-10-13T20:46-0400	0
Donald Trump	fuck	2015-10-13T20:46-0400	6
Donald Trump	shit	2015-10-13T20:46-0400	6
Hillary Clinton	ass	2015-10-13T20:46-0400	1
Hillary Clinton	bitch	2015-10-13T20:46-0400	1
Hillary Clinton	damn	2015-10-13T20:46-0400	2
Hillary Clinton	dick	2015-10-13T20:46-0400	0
Hillary Clinton	douche	2015-10-13T20:46-0400	0
Hillary Clinton	fuck	2015-10-13T20:46-0400	2
Hillary Clinton	shit	2015-10-13T20:46-0400	2
Jim Webb	ass	2015-10-13T20:46-0400	0
