time,word,subject,count
2019-06-27T01:00:00Z,fuck,booker,2
2019-06-27T01:00:00Z,fuck,blasio,1
2019-06-27T01:00:00Z,fuck,castro,1
2019-06-27T01:00:00Z,fuck,delaney,0
2019-06-27T01:00:00Z,fuck,gabbard,1
2019-06-27T01:00:00Z,fuck,inslee,1
2019-06-27T01:00:00Z,fuck,klobuchar,0
2019-06-27T01:00:00Z,fuck,beto,2
2019-06-27T01:00:00Z,fuck,tim ryan,0
2019-06-27T01:00:00Z,fuck,warren,1
2019-06-27T01:00:00Z,fuck,trump,14
2019-06-27T01:00:00Z,shit,booker,0
2019-06-27T01:00:00Z,shit,blasio,0
2019-06-27T01:00:00Z,shit,castro,1
2019-06-27T01:00:00Z,shit,delaney,0
2019-06-27T01:00:00Z,shit,gabbard,0
2019-06-27T01:00:00Z,shit,inslee,0
2019-06-27T01:00:00Z,shit,klobuchar,0
2019-06-27T01:00:00Z,shit,beto,1
2019-06-27T01:00:00Z,shit,tim ryan,1
2019-06-27T01:00:00Z,shit,warren,0
2019-06-27T01:00:00Z,shit,trump,20
2019-06-27T01:00:00Z,bitch,booker,0
2019-06-27T01:00:00Z,bitch,blasio,0
2019-06-27T01:00:00Z,bitch,castro,0
2019-06-27T01:00:00Z,bitch,delaney,0
2019-06-27T01:00:00Z,bitch,gabbard,0
2019-06-27T01:00:00Z,bitch,inslee,0
2019-06-27T01:00:00Z,bitch,klobuchar,0
2019-06-27T01:00:00Z,bitch,beto,1
2019-06-27T01:00:00Z,bitch,tim ryan,0
2019-06-27T01:00:00Z,bitch,warren,1
2019-06-27T01:00:00Z,bitch,trump,5
2019-06-27T01:00:00Z,ass,booker,0
2019-06-27T01:00:00Z,ass,blasio,0
2019-06-27T01:00:00Z,ass,castro,0
2019-06-27T01:00:00Z,ass,delaney,0
2019-06-27T01:00:00Z,ass,gabbard,0
2019-06-27T01:00:00Z,ass,inslee,0
2019-06-27T01:00:00Z,ass,klobuchar,0
2019-06-27T01:00:00Z,ass,beto,1
2019-06-27T01:00:00Z,ass,tim ryan,0
2019-06-27T01:00:00Z,ass,warren,0
2019-06-27T01:00:00Z,ass,trump,2
2019-06-27T01:00:00Z,dick,booker,0
2019-06-27T01:00:00Z,dick,blasio,0
2019-06-27T01:00:00Z,dick,castro,0
2019-06-27T01:00:00Z,dick,delaney,0
2019-06-27T01:00:00Z,dick,gabbard,0
2019-06-27T01:00:00Z,dick,inslee,0
2019-06-27T01:00:00Z,dick,klobuchar,0
2019-06-27T01:00:00Z,dick,beto,0
2019-06-27T01:00:00Z,dick,tim ryan,0
2019-06-27T01:00:00Z,dick,warren,0
2019-06-27T01:00:00Z,dick,trump,4
2019-06-27T01:01:00Z,fuck,booker,0
2019-06-27T01:01:00Z,fuck,blasio,0
2019-06-27T01:01:00Z,fuck,castro,2
2019-06-27T01:01:00Z,fuck,delaney,1
2019-06-27T01:01:00Z,fuck,gabbard,0
2019-06-27T01:01:00Z,fuck,inslee,2
2019-06-27T01:01:00Z,fuck,klobuchar,0
2019-06-27T01:01:00Z,fuck,beto,1
2019-06-27T01:01:00Z,fuck,tim ryan,2
2019-06-27T01:01:00Z,fuck,warren,5
2019-06-27T01:01:00Z,fuck,trump,13
2019-06-27T01:01:00Z,shit,booker,0
2019-06-27T01:01:00Z,shit,blasio,0
2019-06-27T01:01:00Z,shit,castro,1
2019-06-27T01:01:00Z,shit,delaney,0
2019-06-27T01:01:00Z,shit,gabbard,0
2019-06-27T01:01:00Z,shit,inslee,1
2019-06-27T01:01:00Z,shit,klobuchar,0
2019-06-27T01:01:00Z,shit,beto,1
2019-06-27T01:01:00Z,shit,tim ryan,0
2019-06-27T01:01:00Z,shit,warren,1
2019-06-27T01:01:00Z,shit,trump,17
2019-06-27T01:01:00Z,bitch,booker,0
2019-06-27T01:01:00Z,bitch,blasio,0
2019-06-27T01:01:00Z,bitch,castro,0
2019-06-27T01:01:00Z,bitch,delaney,0
2019-06-27T01:01:00Z,bitch,gabbard,0
2019-06-27T01:01:00Z,bitch,inslee,0
2019-06-27T01:01:00Z,bitch,klobuchar,0
2019-06-27T01:01:00Z,bitch,beto,0
2019-06-27T01:01:00Z,bitch,tim ryan,0
2019-06-27T01:01:00Z,bitch,warren,0
2019-06-27T01:01:00Z,bitch,trump,3
2019-06-27T01:01:00Z,ass,booker,0
